"id";"pincode";"created_at";"updated_at"
"256";"504103";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"257";"504105";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"258";"504304";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"259";"504312";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"260";"504323";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"261";"504216";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"262";"504109";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"263";"504219";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"264";"504301";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"265";"504214";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"266";"504309";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"267";"504311";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"268";"504106";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"269";"504207";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"270";"504109";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"271";"504202";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"272";"504206";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"273";"504313";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"274";"504312";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"275";"504104";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"276";"504299";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"277";"504215";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"278";"504296";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"279";"504105";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"280";"504220";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"281";"504206";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"282";"504204";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"283";"504202";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"284";"504103";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"285";"504313";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"286";"504103";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"287";"504110";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"288";"504103";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"289";"504214";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
